"days" "cases" "deaths"
"1" 1 0 1
"2" 2 0 0
"3" 3 0 0
"4" 4 0 1
"5" 5 1 0
"6" 6 2 0
"7" 7 0 0
"8" 8 0 0
"9" 9 0 0
"10" 10 0 0
"11" 11 1 0
"12" 12 3 0
"13" 13 0 0
"14" 14 0 0
"15" 15 0 0
"16" 16 2 0
"17" 17 1 0
"18" 18 2 0
"19" 19 4 0
"20" 20 5 2
"21" 21 5 0
"22" 22 4 1
"23" 23 8 1
"24" 24 6 1
"25" 25 10 2
"26" 26 8 1
"27" 27 12 3
"28" 28 16 3
"29" 29 20 5
"30" 30 22 2
"31" 31 15 6
"32" 32 22 7
"33" 33 26 5
"34" 34 31 3
"35" 35 39 8
"36" 36 35 8
"37" 37 44 12
"38" 38 62 8
"39" 39 60 14
"40" 40 57 16
"41" 41 59 14
"42" 42 85 8
"43" 43 70 14
"44" 44 65 11
"45" 45 86 24
"46" 46 74 24
"47" 47 83 24
"48" 48 82 25
"49" 49 81 20
"50" 50 91 15
"51" 51 74 25
"52" 52 85 29
"53" 53 83 18
"54" 54 94 11
"55" 55 102 19
"56" 56 69 21
"57" 57 79 13
"58" 58 72 15
"59" 59 66 18
"60" 60 48 13
"61" 61 59 9
"62" 62 59 16
"63" 63 46 15
"64" 64 48 18
"65" 65 43 16
"66" 66 42 13
"67" 67 42 13
"68" 68 33 14
"69" 69 32 10
"70" 70 41 5
"71" 71 40 12
"72" 72 26 6
"73" 73 24 11
"74" 74 23 7
"75" 75 20 8
"76" 76 30 1
"77" 77 18 5
"78" 78 21 4
"79" 79 16 6
"80" 80 17 3
"81" 81 7 3
"82" 82 9 3
"83" 83 8 6
"84" 84 9 5
"85" 85 13 2
"86" 86 14 4
"87" 87 12 1
"88" 88 5 3
"89" 89 7 0
"90" 90 5 1
"91" 91 14 3
"92" 92 7 2
"93" 93 4 1
"94" 94 6 1
"95" 95 2 1
"96" 96 1 0
"97" 97 3 2
"98" 98 4 1
"99" 99 3 3
"100" 100 1 0
"101" 101 5 2
"102" 102 7 0
"103" 103 6 3
"104" 104 1 3
"105" 105 0 0
"106" 106 0 0
"107" 107 1 0
"108" 108 0 0
"109" 109 2 0
"110" 110 0 0
"111" 111 1 0
"112" 112 1 0
"113" 113 1 0
"114" 114 1 0
"115" 115 1 0
"116" 116 2 0
"117" 117 2 0
"118" 118 0 1
"119" 119 0 0
"120" 120 0 0
"121" 121 2 0
"122" 122 0 0
"123" 123 0 0
"124" 124 0 0
"125" 125 1 0
"126" 126 1 0
"127" 127 1 0
"128" 128 0 2
"129" 129 1 0
"130" 130 1 0
"131" 131 0 0
"132" 132 0 0
"133" 133 0 0
"134" 134 0 1
"135" 135 0 0
"136" 136 0 0
"137" 137 0 0
"138" 138 0 0
"139" 139 0 0
"140" 140 0 0
"141" 141 0 0
"142" 142 0 0
"143" 143 0 0
"144" 144 0 0
"145" 145 0 0
"146" 146 0 0
"147" 147 0 0
"148" 148 0 0
"149" 149 0 0
"150" 150 0 0
"151" 151 0 0
"152" 152 0 0
"153" 153 0 0
"154" 154 1 0
"155" 155 0 0
"156" 156 0 0
"157" 157 0 0
"158" 158 0 0
"159" 159 0 0
"160" 160 0 0
"161" 161 0 0
"162" 162 0 0
"163" 163 0 0
"164" 164 0 0
"165" 165 0 0
"166" 166 0 0
"167" 167 0 0
"168" 168 0 0
"169" 169 0 0
"170" 170 0 0
"171" 171 0 0
"172" 172 0 0
"173" 173 0 0
"174" 174 0 0
"175" 175 0 0
"176" 176 0 0
"177" 177 0 0
"178" 178 0 0
"179" 179 0 0
"180" 180 0 0
"181" 181 0 0
"182" 182 0 0
"183" 183 0 0
"184" 184 0 0
"185" 185 0 0
"186" 186 0 0
"187" 187 0 0
"188" 188 0 0
"189" 189 0 0
"190" 190 0 0
"191" 191 0 0
"192" 192 0 0
"193" 193 0 0
"194" 194 0 0
"195" 195 0 0
"196" 196 0 0
"197" 197 0 0
"198" 198 0 0
"199" 199 0 0
